0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0000000000 0.0026965265 0.0040904519 0.0038868126 0.0027956590 0.0012975090 -0.0003609391 -0.0020080625 -0.0034226444 -0.0042035656 -0.0036727794 -0.0013031304
0.0000000000 0.0091526158 0.0129171629 0.0121053381 0.0086841623 0.0040163449 -0.0011439526 -0.0062574153 -0.0106441776 -0.0131330973 -0.0118647745 -0.0051037593
0.0000000000 0.0182507091 0.0249240288 0.0230291933 0.0164081629 0.0075736957 -0.0021288671 -0.0117755032 -0.0201705693 -0.0251609131 -0.0232258389 -0.0105697874
0.0000000000 0.0300963031 0.0402574545 0.0366399146 0.0258579132 0.0119413188 -0.0031768468 -0.0183326729 -0.0318880728 -0.0404557142 -0.0380609608 -0.0177393224
0.0000000000 0.0459031672 0.0600824497 0.0535706011 0.0372728087 0.0172555918 -0.0041051810 -0.0258089306 -0.0460937852 -0.0600832272 -0.0579857748 -0.0275565428
0.0000000000 0.0678837421 0.0860078971 0.0742691944 0.0505262304 0.0234634620 -0.0045688177 -0.0335824584 -0.0625487511 -0.0851819714 -0.0857213735 -0.0419996212
0.0000000000 0.0989713162 0.1188153003 0.0975583826 0.0640650654 0.0297665300 -0.0040660599 -0.0398360112 -0.0789758049 -0.1151346443 -0.1242642969 -0.0645792057
0.0000000000 0.1404857384 0.1545174946 0.1175753631 0.0731237438 0.0336435155 -0.0023974988 -0.0411750647 -0.0888305951 -0.1429118435 -0.1723388287 -0.1000330706
0.0000000000 0.1827167576 0.1752317769 0.1192348765 0.0680986811 0.0300957826 -0.0006878284 -0.0338983915 -0.0806888561 -0.1478848663 -0.2102123783 -0.1483656548
0.0000000000 0.1797704071 0.1391827378 0.0791996496 0.0382407824 0.0143510033 -0.0012613092 -0.0177223207 -0.0458303879 -0.0991424298 -0.1779758785 -0.1761257694
0.0000000000 0.0195534961 0.0108217274 -0.0030324301 -0.0087504138 -0.0078673032 -0.0038411418 0.0006096728 0.0028974195 -0.0002111373 -0.0085696843 0.0018257839
